Location,City,city_name,state_name,Lat,Lng
"Carpinteria, CA",23,Carpinteria, CA,34.39888380000001,-119.5184564
"Newark, CA",23,Newark, CA,37.5296593,-122.0402399
"Anderson, SC",23,Anderson, SC,34.5034394,-82.6501332
"Poway, CA",23,Poway, CA,32.9628232,-117.0358646
"Southlake, TX",23,Southlake, TX,32.9412363,-97.1341783
"Costa Mesa, CA",23,Costa Mesa, CA,33.6412156,-117.9188221
"Tustin, CA",23,Tustin, CA,33.7420005,-117.8236391
"Carmel, IN",22,Carmel, IN,39.978371,-86.1180435
"Royal Oak, MI",22,Royal Oak, MI,42.4894801,-83.1446485
"Mount Laurel, NJ",22,Mount Laurel, NJ,39.934002,-74.89099879999999
"Lancaster, PA",22,Lancaster, PA,40.0378755,-76.3055144
"Draper, UT",22,Draper, UT,40.5246711,-111.8638226
"Lexington, KY",22,Lexington, KY,38.0405837,-84.5037164
"Bloomington, IL",22,Bloomington, IL,40.4842027,-88.99368729999999
"Danbury, CT",21,Danbury, CT,41.394817,-73.4540111
"Naperville, IL",21,Naperville, IL,41.7508391,-88.1535352
"Manassas, VA",21,Manassas, VA,38.7509488,-77.47526669999999
"Greenwich, CT",21,Greenwich, CT,41.0262417,-73.6281964
"Miramar, FL",21,Miramar, FL,25.9860762,-80.30356019999999
"Oklahoma City, OK",21,Oklahoma City, OK,35.4675602,-97.5164276
"Middletown, NJ",21,Middletown, NJ,40.3968012,-74.09159819999999
"Beverly Hills, CA",21,Beverly Hills, CA,34.0736204,-118.4003563
"Grand Rapids, MI",21,Grand Rapids, MI,42.9633599,-85.6680863
"West Des Moines, IA",21,West Des Moines, IA,41.5772115,-93.711332
"Concord, CA",21,Concord, CA,37.9779776,-122.0310733
"Suitland, MD",21,Suitland, MD,38.8485264,-76.9240422
"Emeryville, CA",20,Emeryville, CA,37.831316,-122.2852473
"Tarrytown, NY",20,Tarrytown, NY,41.0762077,-73.85874609999999
"Portland, ME",20,Portland, ME,43.6590993,-70.2568189
"Lincolnshire, IL",20,Lincolnshire, IL,42.1900249,-87.9084039
"Livonia, MI",20,Livonia, MI,42.36837,-83.35270969999999
"Springfield, IL",20,Springfield, IL,39.78172130000001,-89.6501481
"Alameda, CA",20,Alameda, CA,37.7652065,-122.2416355
"Bothell, WA",20,Bothell, WA,47.76011099999999,-122.2054452
"Wichita, KS",20,Wichita, KS,37.68717609999999,-97.33005299999999
"Albuquerque, NM",20,Albuquerque, NM,35.0843859,-106.650422
"Hoffman Estates, IL",20,Hoffman Estates, IL,42.0629915,-88.12271989999999
"Bossier City, LA",20,Bossier City, LA,32.5159852,-93.7321228
"Birmingham, AL",20,Birmingham, AL,33.5185892,-86.8103567
"Chattanooga, TN",19,Chattanooga, TN,35.0456297,-85.3096801
"Warren, MI",19,Warren, MI,42.5144566,-83.01465259999999
"Needham, MA",19,Needham, MA,42.2809285,-71.23775479999999
"Pontiac, MI",19,Pontiac, MI,42.6389216,-83.29104679999999
"Santa Barbara, CA",19,Santa Barbara, CA,34.4208305,-119.6981901
"Daytona Beach, FL",19,Daytona Beach, FL,29.2108147,-81.0228331
"Greenville, SC",19,Greenville, SC,34.85261759999999,-82.3940104
"Sarasota, FL",19,Sarasota, FL,27.3364347,-82.53065269999999
"Canonsburg, PA",18,Canonsburg, PA,40.2625702,-80.18727969999999
"Valencia, CA",18,Valencia, CA,34.456151,-118.5713823
"Providence, RI",18,Providence, RI,41.8239891,-71.4128343
"La Jolla, CA",18,La Jolla, CA,32.8328112,-117.2712717
"Roseville, CA",18,Roseville, CA,38.7521235,-121.2880059
"Woonsocket, RI",18,Woonsocket, RI,42.00287609999999,-71.51478390000001
"Purchase, NY",18,Purchase, NY,41.0400135,-73.7144477
"Sandy Springs, GA",18,Sandy Springs, GA,33.9304352,-84.3733147
"Rocklin, CA",18,Rocklin, CA,38.7907339,-121.2357828
"Charleston, SC",18,Charleston, SC,32.7764749,-79.93105120000001
"Peoria, IL",18,Peoria, IL,40.6936488,-89.5889864
"Juno Beach, FL",18,Juno Beach, FL,26.8797819,-80.0533743
"Northbrook, IL",17,Northbrook, IL,42.1275267,-87.82895479999999
"Norcross, GA",17,Norcross, GA,33.9412127,-84.2135309
"Franklin Lakes, NJ",17,Franklin Lakes, NJ,41.0167639,-74.2057011
"Woodlawn, MD",17,Woodlawn, MD,39.3228841,-76.72802770000001
"Newport News, VA",17,Newport News, VA,37.0870821,-76.4730122
"Mission Viejo, CA",17,Mission Viejo, CA,33.5968913,-117.6581562
"Charlottesville, VA",17,Charlottesville, VA,38.0293059,-78.47667810000002
"Merrimack, NH",17,Merrimack, NH,42.8678693,-71.49483219999999
"Plantation, FL",17,Plantation, FL,26.1275862,-80.23310359999999
"Deerfield Beach, FL",17,Deerfield Beach, FL,26.3184123,-80.09976569999999
"Colorado Springs, CO",16,Colorado Springs, CO,38.8338816,-104.8213634
"Watertown, MA",16,Watertown, MA,42.3709299,-71.1828321
"Plymouth, MI",16,Plymouth, MI,42.3714253,-83.4702132
"Falls Church, VA",16,Falls Church, VA,38.88233400000001,-77.1710914
"Glen Allen, VA",16,Glen Allen, VA,37.665978,-77.5063739
"Tucson, AZ",16,Tucson, AZ,32.2226066,-110.9747108
"Minnetonka, MN",16,Minnetonka, MN,44.9211836,-93.4687489
"Carson City, NV",16,Carson City, NV,39.1637984,-119.7674034
"South Jordan, UT",16,South Jordan, UT,40.5621704,-111.929658
"Sterling, VA",16,Sterling, VA,39.0066993,-77.4291298
"Boise, ID",16,Boise, ID,43.6150186,-116.2023137
"Lakewood, NJ",16,Lakewood, NJ,40.08212899999999,-74.2097014
"Lowell, MA",16,Lowell, MA,42.6334247,-71.31617179999999
"Cypress, CA",15,Cypress, CA,33.8169366,-118.0368507
"Arden Hills, MN",15,Arden Hills, MN,45.0502435,-93.1566112
"Peachtree City, GA",15,Peachtree City, GA,33.3968557,-84.59634319999999
"Santa Ana, CA",15,Santa Ana, CA,33.7454725,-117.867653
"Winter Park, FL",15,Winter Park, FL,28.5999998,-81.33923519999999
"Dania Beach, FL",15,Dania Beach, FL,26.052311,-80.1439343
"Coppell, TX",15,Coppell, TX,32.9545687,-97.01500779999999
"Wilmington, MA",15,Wilmington, MA,42.5481714,-71.1724467
"Basking Ridge, NJ",15,Basking Ridge, NJ,40.7066174,-74.5493284
"Malvern, PA",15,Malvern, PA,40.0362184,-75.5138118
"Akron, OH",15,Akron, OH,41.0814447,-81.51900529999999
"Modesto, CA",15,Modesto, CA,37.63909719999999,-120.9968782
"Westminster, CO",15,Westminster, CO,39.8366528,-105.0372046
"Lakewood, CO",15,Lakewood, CO,39.7047095,-105.0813734
"Greenbelt, MD",15,Greenbelt, MD,39.0045544,-76.87552819999999
"Cherry Hill, NJ",14,Cherry Hill, NJ,39.926813,-75.0246312
"Oxnard, CA",14,Oxnard, CA,34.1975048,-119.1770516
"Aurora, IL",14,Aurora, IL,41.7605849,-88.32007150000001
"Kansas City, MO",14,Kansas City, MO,39.0997265,-94.5785667
"Morristown, NJ",14,Morristown, NJ,40.79676670000001,-74.4815438
"Portsmouth, NH",14,Portsmouth, NH,43.0717552,-70.7625532
"Marietta, GA",14,Marietta, GA,33.95260200000001,-84.5499327
"Littleton, CO",14,Littleton, CO,39.613321,-105.0166498
"Southborough, MA",14,Southborough, MA,42.3056501,-71.5245087
"Fort Wayne, IN",14,Fort Wayne, IN,41.079273,-85.1393513
"Goshen, IN",14,Goshen, IN,41.5822716,-85.8344383
"Woodcliff Lake, NJ",14,Woodcliff Lake, NJ,41.0234304,-74.06652969999999
"San Ramon, CA",14,San Ramon, CA,37.7799273,-121.9780153
"Lake Mary, FL",14,Lake Mary, FL,28.7588833,-81.3178446
"Golden, CO",14,Golden, CO,39.755543,-105.2210997
"Bedford, MA",14,Bedford, MA,42.4906231,-71.2760089
"Frederick, MD",13,Frederick, MD,39.41426879999999,-77.4105409
"Lititz, PA",13,Lititz, PA,40.1573169,-76.3069014
"Allen Park, MI",13,Allen Park, MI,42.2575385,-83.2110375
"Gainesville, FL",13,Gainesville, FL,29.6516344,-82.32482619999999
"East Hanover, NJ",13,East Hanover, NJ,40.8200623,-74.3647247
"Florence, KY",13,Florence, KY,38.9989499,-84.62661109999999
"Wellesley, MA",13,Wellesley, MA,42.296797,-71.29238769999999
"Farmington, CT",13,Farmington, CT,41.7360305,-72.79502699999999
"St. Petersburg, FL",13,St. Petersburg, FL,27.7676008,-82.64029149999999
"Somerset, NJ",13,Somerset, NJ,40.497604,-74.48848679999999
"Wilmington, NC",13,Wilmington, NC,34.2103894,-77.8868117
"Hershey, PA",13,Hershey, PA,40.2859239,-76.65024679999999
"Frankfort, KY",13,Frankfort, KY,38.2009055,-84.87328350000001
"Cedar Rapids, IA",13,Cedar Rapids, IA,41.9778795,-91.6656232
"Hoboken, NJ",13,Hoboken, NJ,40.7439905,-74.0323626
"Calabasas, CA",13,Calabasas, CA,34.1367208,-118.6614809
"Temecula, CA",13,Temecula, CA,33.4936391,-117.1483648
"Germantown, MD",13,Germantown, MD,39.1731621,-77.2716502
"Rocky Hill, CT",13,Rocky Hill, CT,41.6572525,-72.66557569999999
"Wakefield, MA",13,Wakefield, MA,42.5039395,-71.0723391
"El Dorado Hills, CA",13,El Dorado Hills, CA,38.6857367,-121.082167
"Fort Meade, MD",12,Fort Meade, MD,39.1137602,-76.7267773
"Wayne, PA",12,Wayne, PA,40.0415996,-75.3698895
"Shelton, CT",12,Shelton, CT,41.3164856,-73.0931641
"Hallandale Beach, FL",12,Hallandale Beach, FL,25.9812024,-80.14837899999999
"Augusta, ME",12,Augusta, ME,44.3106241,-69.7794897
"Chester, VA",12,Chester, VA,37.3568157,-77.4416505
"Holland, MI",12,Holland, MI,42.7875235,-86.1089301
"Fort Myers, FL",12,Fort Myers, FL,26.640628,-81.8723084
"Eugene, OR",12,Eugene, OR,44.0520691,-123.0867536
"Huntsville, AL",12,Huntsville, AL,34.7303688,-86.5861037
"Highlands Ranch, CO",12,Highlands Ranch, CO,39.5480789,-104.9739333
"American Fork, UT",12,American Fork, UT,40.3768954,-111.7957645
