,Location,City,city_name,state_name,Lat,Lng
153,"Bohemia, NY",9,Bohemia, NY,40.7692649,-73.1151117
154,"Boise, ID",16,Boise, ID,43.6150186,-116.2023137
155,"Bolingbrook, IL",5,Bolingbrook, IL,41.6986416,-88.0683955
156,"Bonita Springs, FL",2,Bonita Springs, FL,26.339806,-81.7786972
157,"Bossier City, LA",20,Bossier City, LA,32.5159852,-93.7321228
158,"Boston, MA",210,Boston, MA,42.3600825,-71.0588801
159,"Boston, ME",1,Boston, ME,42.3600825,-71.0588801
160,"Bothell, WA",20,Bothell, WA,47.760111,-122.2054452
161,"Boulder, CO",167,Boulder, CO,40.0149856,-105.2705456
162,"Bountiful, UT",1,Bountiful, UT,40.8893895,-111.880771
163,"Bowie, MD",6,Bowie, MD,39.0067768,-76.7791365
164,"Bowling Green, KY",3,Bowling Green, KY,36.9685219,-86.4808043
165,"Boxborough, MA",6,Boxborough, MA,42.4834197,-71.5167139
166,"Boyce, LA",1,Boyce, LA,31.3904558,-92.6693132
167,"Boynton Beach, FL",4,Boynton Beach, FL,26.5317866,-80.0905465
168,"Bradenton, FL",2,Bradenton, FL,27.4989278,-82.5748194
169,"Brady, TX",1,Brady, TX,31.1351682,-99.3350552
170,"Braintree, MA",3,Braintree, MA,42.2079017,-71.0040013
171,"Branchburg, NJ",1,Branchburg, NJ,40.5868114,-74.6985891
172,"Branchville, NJ",1,Branchville, NJ,41.1464852,-74.7523874
173,"Branford, CT",3,Branford, CT,41.2799027,-72.8141185
174,"Braselton, GA",2,Braselton, GA,34.1092735,-83.7626729
175,"Brea, CA",29,Brea, CA,33.916475,-117.9002918
176,"Brentwood, CA",4,Brentwood, CA,37.931868,-121.6957863
177,"Brentwood, MO",1,Brentwood, MO,38.6175522,-90.3492829
178,"Brentwood, TN",26,Brentwood, TN,36.0331164,-86.7827772
179,"Bridgeport, CT",6,Bridgeport, CT,41.1792258,-73.1894384
180,"Bridgeton, MO",1,Bridgeton, MO,38.7669954,-90.4115057
181,"Bridgewater, NJ",23,Bridgewater, NJ,40.5939636,-74.6049061
182,"Bridgewater, VA",1,Bridgewater, VA,38.3820706,-78.976696
183,"Brighton, MA",4,Brighton, MA,42.3463503,-71.1626756
184,"Brighton, MI",2,Brighton, MI,42.5294773,-83.7802214
185,"Bristol, CT",11,Bristol, CT,41.6717648,-72.9492703
186,"Bristol, PA",2,Bristol, PA,40.1006661,-74.8518311
187,"Broadview Hts, OH",2,Broadview Hts, OH,41.3139426,-81.6851271
188,"Brockton, MA",1,Brockton, MA,42.0834335,-71.0183787
189,"Bronx, NY",5,Bronx, NY,40.8447819,-73.8648268
190,"Brookfield, WI",6,Brookfield, WI,43.0605671,-88.1064787
191,"Brookings, SD",1,Brookings, SD,44.3113573,-96.7983877
192,"Brookline, MA",2,Brookline, MA,42.3317642,-71.1211635
193,"Brooklyn Center, MN",1,Brooklyn Center, MN,45.076076,-93.3327283
194,"Brooklyn Park, MN",8,Brooklyn Park, MN,45.0941315,-93.3563405
195,"Brooklyn, NY",88,Brooklyn, NY,40.6781784,-73.9441579
196,"Brooklyn, OH",4,Brooklyn, OH,41.4301349,-81.7512107
197,"Broomfield, CO",36,Broomfield, CO,39.9205411,-105.0866504
198,"Brownstown, MI",2,Brownstown, MI,42.1261157,-83.2572332
199,"Brunswick, ME",1,Brunswick, ME,43.9140162,-69.966996
200,"Bryan, TX",2,Bryan, TX,30.6743643,-96.3699632
201,"Bryn Mawr, PA",2,Bryn Mawr, PA,40.0230237,-75.3151772
202,"Bueyeros, NM",1,Bueyeros, NM,35.9794798,-103.6871836
203,"Buffalo Grove, IL",7,Buffalo Grove, IL,42.1662831,-87.9631308
204,"Buffalo, NY",29,Buffalo, NY,42.8864468,-78.8783689
205,"Buford, GA",1,Buford, GA,34.1206564,-84.0043513
206,"Bunker Hill Village, TX",1,Bunker Hill Village, TX,29.7674508,-95.5299427
207,"Burbank, CA",67,Burbank, CA,34.1808392,-118.3089661
208,"Burlingame, CA",26,Burlingame, CA,37.5778696,-122.34809
209,"Burlington, MA",40,Burlington, MA,42.5047161,-71.1956205
210,"Burlington, NC",4,Burlington, NC,36.0956918,-79.4377991
211,"Burlington, NJ",1,Burlington, NJ,40.071222,-74.8648873
212,"Burlington, VT",6,Burlington, VT,44.4758825,-73.212072
213,"Burr Ridge, IL",3,Burr Ridge, IL,41.7489203,-87.9183919
214,"Calabasas, CA",13,Calabasas, CA,34.1367208,-118.6614809
215,"Calgary, AB",3,Calgary, AB,51.0486151,-114.0708459
216,"Calhoun / Kennesaw, GA",1,Calhoun / Kennesaw, GA,34.008114,-84.6058404
217,"Calhoun, GA",2,Calhoun, GA,34.502587,-84.9510542
218,"Camarillo, CA",7,Camarillo, CA,34.2163937,-119.0376023
219,"Cambridge, MA",58,Cambridge, MA,42.3736158,-71.1097335
220,"Camp Hill, PA",7,Camp Hill, PA,40.2398118,-76.9199742
221,"Camp Lejeune, NC",1,Camp Lejeune, NC,34.6250544,-77.4013403
222,"Camp Pendleton, CA",1,Camp Pendleton, CA,33.3178416,-117.3205123
223,"Campbell, CA",38,Campbell, CA,37.2871651,-121.9499568
224,"Canonsburg, PA",18,Canonsburg, PA,40.2625702,-80.1872797
225,"Canton, MA",5,Canton, MA,42.1584324,-71.1447732
226,"Canton, MS",1,Canton, MS,32.6126381,-90.0367512
227,"Canton, OH",1,Canton, OH,40.7989473,-81.378447
228,"Cape Canaveral, FL",4,Cape Canaveral, FL,28.3922182,-80.6077132
229,"Cape Canveral, FL",1,Cape Canveral, FL,28.3922182,-80.6077132
230,"Cape Girardeau, MO",4,Cape Girardeau, MO,37.3058839,-89.5181476
231,"Carbondale, CO",1,Carbondale, CO,39.4022054,-107.2111628
232,"Carlinville, IL",1,Carlinville, IL,39.2797699,-89.8817662
233,"Carlisle, MA",1,Carlisle, MA,42.5292597,-71.3495046
234,"Carlisle, PA",4,Carlisle, PA,40.2010241,-77.2002745
235,"Carlsbad Ca, CA",7,Carlsbad Ca, CA,33.1580933,-117.3505939
236,"Carlsbad, CA",102,Carlsbad, CA,33.1580933,-117.3505939
237,"Carlsbad, NM",1,Carlsbad, NM,32.4206736,-104.2288375
238,"Carlstadt, NJ",2,Carlstadt, NJ,40.8403778,-74.0906974
239,"Carmel, IN",22,Carmel, IN,39.978371,-86.1180435
240,"Carol City, FL",1,Carol City, FL,25.940556,-80.2455912
241,"Carol Stream, IL",1,Carol Stream, IL,41.9125286,-88.1347927
242,"Carpinteria, CA",23,Carpinteria, CA,34.3988838,-119.5184564
243,"Carrollton, GA",5,Carrollton, GA,33.5801103,-85.0766113
244,"Carrollton, TX",6,Carrollton, TX,32.9756415,-96.8899636
245,"Carson City, NV",16,Carson City, NV,39.1637984,-119.7674034
246,"Carson, CA",2,Carson, CA,33.8316745,-118.281693
247,"Cary, NC",33,Cary, NC,35.79154,-78.7811169
248,"Casper, WY",1,Casper, WY,42.8500769,-106.3251749
249,"Castle Hills, TX",1,Castle Hills, TX,29.5232851,-98.5164071
250,"Castle Rock, CO",11,Castle Rock, CO,39.3722121,-104.8560902
251,"Catonsville, MD",1,Catonsville, MD,39.2720509,-76.7319161
252,"Cedar Falls, IA",1,Cedar Falls, IA,42.5348993,-92.4453161
253,"Cedar Knolls, NJ",1,Cedar Knolls, NJ,40.821763,-74.4500053
254,"Cedar Park, TX",2,Cedar Park, TX,30.505198,-97.8202888
255,"Cedar Rapids, IA",13,Cedar Rapids, IA,41.9778795,-91.6656232
256,"Celebration, FL",4,Celebration, FL,28.3252878,-81.5331286
257,"Centennial, CO",29,Centennial, CO,39.5807452,-104.8771726
258,"Center Valley, PA",5,Center Valley, PA,40.5294058,-75.3936935
259,"Centreville, VA",2,Centreville, VA,38.8403909,-77.4288769
260,"Century City, CA",4,Century City, CA,34.0536608,-118.4133894
261,"Cerritos, CA",9,Cerritos, CA,33.8583483,-118.0647871
262,"Chamblee, GA",1,Chamblee, GA,33.8920468,-84.2988126
263,"Champaign, IL",5,Champaign, IL,40.1164204,-88.2433829
264,"Chandler, AZ",8,Chandler, AZ,33.3061605,-111.8412502
265,"Chanhassen, MN",2,Chanhassen, MN,44.8619645,-93.5323103
266,"Chantilly, VA",7,Chantilly, VA,38.8942786,-77.4310992
267,"Chapel Hill, NC",11,Chapel Hill, NC,35.9131996,-79.0558445
268,"Chapin, SC",1,Chapin, SC,34.1659795,-81.3498211
269,"Chardon, OH",1,Chardon, OH,41.5786639,-81.2133262
270,"Charleston, SC",18,Charleston, SC,32.7764749,-79.9310512
271,"Charleston, WV",6,Charleston, WV,38.3498195,-81.6326234
272,"Charlestown, MA",9,Charlestown, MA,42.3782065,-71.0602131
273,"Charlotte, NC",203,Charlotte, NC,35.2270869,-80.8431267
274,"Charlottesville, VA",17,Charlottesville, VA,38.0293059,-78.4766781
275,"Chattanooga, TN",19,Chattanooga, TN,35.0456297,-85.3096801
276,"Cheektowaga, NY",1,Cheektowaga, NY,42.9026136,-78.744572
277,"Chelmsford, MA",5,Chelmsford, MA,42.5998139,-71.3672838
278,"Chelsea, MA",37,Chelsea, MA,42.3917638,-71.0328284
279,"Cherry Hill, NJ",14,Cherry Hill, NJ,39.926813,-75.0246312
280,"Chesapeake, VA",8,Chesapeake, VA,36.7682088,-76.2874927
281,"Cheshire, CT",2,Cheshire, CT,41.5083668,-72.9106202
282,"Chester Springs, PA",2,Chester Springs, PA,40.0784461,-75.6342521
283,"Chester, NJ",1,Chester, NJ,40.7842667,-74.6968284
284,"Chester, PA",1,Chester, PA,39.849557,-75.3557457
285,"Chester, VA",12,Chester, VA,37.3568157,-77.4416505
286,"Chesterbrook, PA",5,Chesterbrook, PA,40.0756627,-75.4590816
287,"Chesterfield, CT",1,Chesterfield, CT,41.4273201,-72.2145238
288,"Chesterfield, IL",1,Chesterfield, IL,39.2550462,-90.063163
289,"Chesterfield, MO",8,Chesterfield, MO,38.6631083,-90.5770675
290,"Chesterfield, VA",1,Chesterfield, VA,37.3770935,-77.5049863
291,"Chestertown, MD",1,Chestertown, MD,39.2188663,-76.0690036
292,"Cheswick, PA",2,Cheswick, PA,40.5417343,-79.7992155
293,"Chevy Chase, MD",8,Chevy Chase, MD,38.9692771,-77.0788667
294,"Chicago (west Loop), IL",1,Chicago (west Loop), IL,41.882457,-87.6446775
295,"Chicago, IL",173,Chicago, IL,41.8781136,-87.6297982
296,"Chico, CA",1,Chico, CA,39.7284944,-121.8374777
297,"Chiefland, FL",2,Chiefland, FL,29.4749621,-82.8598421
298,"Chino Hills, CA",1,Chino Hills, CA,33.9898188,-117.7325848
299,"Cincinnati, OH",76,Cincinnati, OH,39.1031182,-84.5120196
300,"Cincinnnati, OH",1,Cincinnnati, OH,39.1031182,-84.5120196
301,"City Of Industry, CA",1,City Of Industry, CA,34.0197335,-117.9586754
302,"Clackamas, OR",1,Clackamas, OR,45.4076205,-122.5703692
303,"Clear Creek, IN",1,Clear Creek, IN,39.1092143,-86.5399968
304,"Clearfield, UT",1,Clearfield, UT,41.1107771,-112.0260538
